code,plot,year,species,#adults,#saplings,#seedlings
1,CM1,2007,Cistus libanotis,8,21,NA
2,CM1,2007,Halimium commutatum,3,1,NA
3,CM1,2007,Halimium halimifolium,4,2,NA
6,CM1,2007,Lavandula stoechas,16,30,NA
7,CM1,2007,Rosmarinus officinalis,7,1,NA
11,CM2,2007,Cistus libanotis,9,44,NA
12,CM2,2007,Halimium commutatum,8,3,NA
13,CM2,2007,Halimium halimifolium,9,6,NA
16,CM2,2007,Lavandula stoechas,10,3,NA
17,CM2,2007,Rosmarinus officinalis,3,4,NA
21,CM3,2007,Cistus libanotis,36,9,NA
22,CM3,2007,Halimium commutatum,10, ,NA
23,CM3,2007,Halimium halimifolium,28,2,NA
26,CM3,2007,Lavandula stoechas,13,14,NA
27,CM3,2007,Rosmarinus officinalis,16,1,NA
31,CM4,2007,Cistus libanotis,3,18,NA
32,CM4,2007,Halimium commutatum,21,66,NA
33,CM4,2007,Halimium halimifolium,45,33,NA
36,CM4,2007,Lavandula stoechas,47,110,NA
37,CM4,2007,Rosmarinus officinalis,10,43,NA
41,CM5,2007,Cistus libanotis,33,47,NA
42,CM5,2007,Halimium commutatum,10,7,NA
43,CM5,2007,Halimium halimifolium,74,17,NA
46,CM5,2007,Lavandula stoechas,58,87,NA
47,CM5,2007,Rosmarinus officinalis,5,8,NA
51,CM6,2007,Cistus libanotis,13,26,NA
52,CM6,2007,Halimium commutatum,11,5,NA
53,CM6,2007,Halimium halimifolium,18,7,NA
56,CM6,2007,Lavandula stoechas,37,118,NA
57,CM6,2007,Rosmarinus officinalis,12,13,NA
61,MM1,2007,Cistus libanotis,22,105,NA
62,MM1,2007,Halimium commutatum,4,16,NA
63,MM1,2007,Halimium halimifolium,6,3,NA
66,MM1,2007,Lavandula stoechas,4,32,NA
67,MM1,2007,Rosmarinus officinalis,0,5,NA
71,MM2,2007,Cistus libanotis,7,28,NA
72,MM2,2007,Halimium commutatum,19,21,NA
73,MM2,2007,Halimium halimifolium,34,8,NA
76,MM2,2007,Lavandula stoechas,0,14,NA
77,MM2,2007,Rosmarinus officinalis,3,18,NA
81,MM3,2007,Cistus libanotis,2,44,NA
82,MM3,2007,Halimium commutatum,38,253,NA
83,MM3,2007,Halimium halimifolium,15,21,NA
86,MM3,2007,Lavandula stoechas,0,3,NA
87,MM3,2007,Rosmarinus officinalis,9,18,NA
91,MM4,2007,Cistus libanotis,2,1,NA
92,MM4,2007,Halimium commutatum,26,19,NA
93,MM4,2007,Halimium halimifolium,56,0,NA
96,MM4,2007,Lavandula stoechas,0,0,NA
97,MM4,2007,Rosmarinus officinalis,5,26,NA
101,MM5,2007,Cistus libanotis,0,22,NA
102,MM5,2007,Halimium commutatum,11,63,NA
103,MM5,2007,Halimium halimifolium,18,23,NA
106,MM5,2007,Lavandula stoechas,15,58,NA
107,MM5,2007,Rosmarinus officinalis,3,93,NA
111,MM6,2007,Cistus libanotis,3,14,NA
112,MM6,2007,Halimium commutatum,7,48,NA
113,MM6,2007,Halimium halimifolium,10,19,NA
116,MM6,2007,Lavandula stoechas,5,32,NA
117,MM6,2007,Rosmarinus officinalis,12,40,NA
121,OM1,2007,Cistus libanotis,0,19,NA
122,OM1,2007,Halimium commutatum,1,18,NA
123,OM1,2007,Halimium halimifolium,8,14,NA
126,OM1,2007,Lavandula stoechas,13,67,NA
127,OM1,2007,Rosmarinus officinalis,2,1,NA
